notation,prefLabel,prefLabel_en,altLabel,definition,type[Overall],type[Terms],broader,scopeNote,source,sub-profile,macheco-id,howto,Verpflichtungsgrad,Feldwert,Wiederholbar,Unsicher,Empfohlene Vokabulare,relatedEntity_Entity,exactMatch_URI,DataCite,DCAT,schema.org,DublinCore,NFDI core,CIDOC CRM,Wikidata
JY9HHS,Dictionary,Dictionary,,Terms to set profile specific attributes,Class,,top,seen as `internal attributes` to define the profile terms,Object Core,,,,,,,,,,,,,,,,,
RHY8N1,Terms,Terms,,Properties to describe the Object Core Metadata Profile,Class,,top,seen as `properties` or 'relations',Object Core,,,,,,,,,,,,,,,,,
T06G7I,Entities,Entities,,Classes to interlink with the Research Data Knowledge Graph and CIDOC-CRM,Class,,top,seen as `ontology classes`,Object Core,,,,,,,,,,,,,,,,,
C3T57V,Profile,Profile,,Sub-Sets of the Object Core Metadata Profile,Class,,top,seen as `sub-sets` of the objects profile,Object Core,,,,,,,,,,,,,,,,,
CEP90O,Lists,Lists,,Controlled Lists of Items used in sub-sets of the Object Core Metadata Profile,Class,,top,seen as `drop-down lists`,Object Core,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
JYGNTK,Verpflichtungsgrad,degree of commitment,,Umbrella term to define the degree of commitment,property,,JY9HHS,umbrella term,Object Core,,,,,G338GB|XZYN2X|JM0BW3,,,,,,,,,,,,
EO7QK9,Wiederholbar,repeatable,,Boolean term do describe if sth. is repeatable,property,,JY9HHS,boolean term,Object Core,,,,,DC3SN2,,,,,,,,,,,,
TQKQBM,Datentyp,data type,,Umbrella term to define data types,property,,JY9HHS,umbrella term,Object Core,,,,,,,,,,,,,,,,,
H1RGOM,Empfohlene Terminologien,recommended terminologies,,Property to recommend terminologies,property,,JY9HHS,interlinking term,Object Core,,,,,XE70Z8,,,,,,,,,,,,
G338GB,Pflicht,mandatory,,[degree of commitment] it is mandatory,property,,JYGNTK,,Object Core,,,,,,,,,,,,,,,,,
CVF5M9,Bedingt Pflicht,conditionally mandatory,,"at least one event in the history of the object is mandatory. In addition to the Event type, each event must have at least one ""who"", ""where"" or ""when"".",property,,JYGNTK,,Object Core,,,,,,,,,,,,,,,,,
XZYN2X,Empfehlung,recommended,,[degree of commitment] it is recommened if available,property,,JYGNTK,,Object Core,,,,,,,,,,,,,,,,,
JM0BW3,Optional,optional,,[degree of commitment] it is recommened if available but not mendatory,property,,JYGNTK,,Object Core,,,,,,,,,,,,,,,,,
KL9LCA,Unsicherheit,uncertainty,,Property to indicate that there cam be something uncertain,property,,JY9HHS,boolean term,Object Core,,,,,DC3SN2,,,,,,,,,,,,
L2QGNY,Literal,literal,,"[data type] any literal, textual or numeric",property,,TQKQBM,from RDF Schema,RDF Schema 1.1,,,,,,,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Literal,,,,,,,
